关注公众号,#genre#
CEC国际教育,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8
CEC国际健康,http://play.cec-tv.com.cn/channel/cec-tv4.m3u8
CEC国际教育,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8
CEC国际健康,http://play.cec-tv.com.cn/channel/cec-tv4.m3u8

浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
北京卫视,http://live.sjsrm.com/bjsjs/sd/live.m3u8
山西卫视,http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true
黄河卫视,http://liveflash.sxrtv.com/live/huanghe.m3u8?sub_m3u8=true&edge_slice=true
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
宁夏卫视,https://hls.ningxiahuangheyun.com/live/nxws1M.m3u8

青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-28bc40431485/index.m3u8
三沙卫视,https://live3.hnntv.cn/srs/tv/ssws.m3u8
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8



央视频道,#genre#
CCTV1,http://125.113.165.186:8888/rtp/233.50.201.118:5140
CCTV1,http://125.113.64.198:8888/rtp/233.50.201.118:5140
CCTV1,http://125.113.77.54:8888/rtp/233.50.201.118:5140
CCTV1,http://183.142.151.223:8889/rtp/233.50.201.118:5140
CCTV1,http://218.71.45.167:9999/rtp/233.50.201.118:5140
CCTV2,http://125.113.165.186:8888/rtp/233.50.201.119:5140
CCTV2,http://125.113.64.198:8888/rtp/233.50.201.119:5140
CCTV2,http://125.113.77.54:8888/rtp/233.50.201.119:5140
CCTV2,http://183.142.151.223:8889/rtp/233.50.201.119:5140
CCTV2,http://218.71.45.167:9999/rtp/233.50.201.119:5140
CCTV3,http://125.113.165.186:8888/rtp/233.50.201.196:5140
CCTV3,http://125.113.64.198:8888/rtp/233.50.201.196:5140
CCTV3,http://125.113.77.54:8888/rtp/233.50.201.196:5140
CCTV3,http://183.142.151.223:8889/rtp/233.50.201.196:5140
CCTV3,http://218.71.45.167:9999/rtp/233.50.201.196:5140
CCTV4,http://125.113.165.186:8888/rtp/233.50.201.4:5140
CCTV4,http://125.113.64.198:8888/rtp/233.50.201.4:5140
CCTV4,http://125.113.77.54:8888/rtp/233.50.201.4:5140
CCTV4,http://183.142.151.223:8889/rtp/233.50.201.4:5140
CCTV4,http://218.71.45.167:9999/rtp/233.50.201.4:5140
CCTV5+,http://125.113.165.186:8888/rtp/233.50.201.220:5140
CCTV5+,http://125.113.64.198:8888/rtp/233.50.201.220:5140
CCTV5+,http://125.113.77.54:8888/rtp/233.50.201.220:5140
CCTV5+,http://183.142.151.223:8889/rtp/233.50.201.220:5140
CCTV5+,http://218.71.45.167:9999/rtp/233.50.201.220:5140
CCTV5,http://125.113.165.186:8888/rtp/233.50.201.197:5140
CCTV5,http://125.113.64.198:8888/rtp/233.50.201.197:5140
CCTV5,http://125.113.77.54:8888/rtp/233.50.201.197:5140
CCTV5,http://183.142.151.223:8889/rtp/233.50.201.197:5140
CCTV5,http://218.71.45.167:9999/rtp/233.50.201.197:5140
CCTV6,http://125.113.165.186:8888/rtp/233.50.201.198:5140
CCTV6,http://125.113.64.198:8888/rtp/233.50.201.198:5140
CCTV6,http://125.113.77.54:8888/rtp/233.50.201.198:5140
CCTV6,http://183.142.151.223:8889/rtp/233.50.201.198:5140
CCTV6,http://218.71.45.167:9999/rtp/233.50.201.198:5140
CCTV7,http://125.113.165.186:8888/rtp/233.50.201.120:5140
CCTV7,http://125.113.64.198:8888/rtp/233.50.201.120:5140
CCTV7,http://125.113.77.54:8888/rtp/233.50.201.120:5140
CCTV7,http://183.142.151.223:8889/rtp/233.50.201.120:5140
CCTV7,http://218.71.45.167:9999/rtp/233.50.201.120:5140
CCTV8,http://125.113.165.186:8888/rtp/233.50.201.199:5140
CCTV8,http://125.113.64.198:8888/rtp/233.50.201.199:5140
CCTV8,http://125.113.77.54:8888/rtp/233.50.201.199:5140
CCTV8,http://183.142.151.223:8889/rtp/233.50.201.199:5140
CCTV8,http://218.71.45.167:9999/rtp/233.50.201.199:5140
CCTV9,http://125.113.165.186:8888/rtp/233.50.201.121:5140
CCTV9,http://125.113.64.198:8888/rtp/233.50.201.121:5140
CCTV9,http://125.113.77.54:8888/rtp/233.50.201.121:5140
CCTV9,http://183.142.151.223:8889/rtp/233.50.201.121:5140
CCTV9,http://218.71.45.167:9999/rtp/233.50.201.121:5140
CCTV10,http://125.113.165.186:8888/rtp/233.50.201.122:5140
CCTV10,http://125.113.64.198:8888/rtp/233.50.201.122:5140
CCTV10,http://125.113.77.54:8888/rtp/233.50.201.122:5140
CCTV10,http://183.142.151.223:8889/rtp/233.50.201.122:5140
CCTV10,http://218.71.45.167:9999/rtp/233.50.201.122:5140
CCTV11,http://125.113.165.186:8888/rtp/233.50.201.11:5140
CCTV11,http://125.113.64.198:8888/rtp/233.50.201.11:5140
CCTV11,http://125.113.77.54:8888/rtp/233.50.201.11:5140
CCTV11,http://183.142.151.223:8889/rtp/233.50.201.11:5140
CCTV11,http://218.71.45.167:9999/rtp/233.50.201.11:5140
CCTV12,http://125.113.165.186:8888/rtp/233.50.201.123:5140
CCTV12,http://125.113.64.198:8888/rtp/233.50.201.123:5140
CCTV12,http://125.113.77.54:8888/rtp/233.50.201.123:5140
CCTV12,http://183.142.151.223:8889/rtp/233.50.201.123:5140
CCTV12,http://218.71.45.167:9999/rtp/233.50.201.123:5140
CCTV13,http://125.113.165.186:8888/rtp/233.50.201.246:5140
CCTV13,http://125.113.64.198:8888/rtp/233.50.201.246:5140
CCTV13,http://125.113.77.54:8888/rtp/233.50.201.246:5140
CCTV13,http://183.142.151.223:8889/rtp/233.50.201.246:5140
CCTV13,http://218.71.45.167:9999/rtp/233.50.201.246:5140
CCTV14,http://125.113.165.186:8888/rtp/233.50.201.124:5140
CCTV14,http://125.113.64.198:8888/rtp/233.50.201.124:5140
CCTV14,http://125.113.77.54:8888/rtp/233.50.201.124:5140
CCTV14,http://183.142.151.223:8889/rtp/233.50.201.124:5140
CCTV14,http://218.71.45.167:9999/rtp/233.50.201.124:5140
CCTV15,http://125.113.165.186:8888/rtp/233.50.201.15:5140
CCTV15,http://125.113.64.198:8888/rtp/233.50.201.15:5140
CCTV15,http://125.113.77.54:8888/rtp/233.50.201.15:5140
CCTV15,http://183.142.151.223:8889/rtp/233.50.201.15:5140
CCTV15,http://218.71.45.167:9999/rtp/233.50.201.15:5140
CCTV16 4k,http://125.113.165.186:8888/rtp/233.50.201.63:5140
CCTV16 4k,http://125.113.64.198:8888/rtp/233.50.201.63:5140
CCTV16 4k,http://125.113.77.54:8888/rtp/233.50.201.63:5140
CCTV16 4k,http://183.142.151.223:8889/rtp/233.50.201.63:5140
CCTV16 4k,http://218.71.45.167:9999/rtp/233.50.201.63:5140
CCTV16,http://125.113.165.186:8888/rtp/233.50.201.192:5140
CCTV16,http://125.113.64.198:8888/rtp/233.50.201.192:5140
CCTV16,http://125.113.77.54:8888/rtp/233.50.201.192:5140
CCTV16,http://183.142.151.223:8889/rtp/233.50.201.192:5140
CCTV16,http://218.71.45.167:9999/rtp/233.50.201.192:5140
CCTV17,http://125.113.165.186:8888/rtp/233.50.201.35:5140
CCTV17,http://125.113.64.198:8888/rtp/233.50.201.35:5140
CCTV17,http://125.113.77.54:8888/rtp/233.50.201.35:5140
CCTV17,http://183.142.151.223:8889/rtp/233.50.201.35:5140
CCTV17,http://218.71.45.167:9999/rtp/233.50.201.35:5140
卫视频道,#genre#
东南卫视,http://125.113.165.186:8888/rtp/233.50.201.146:5140
东南卫视,http://125.113.64.198:8888/rtp/233.50.201.146:5140
东南卫视,http://125.113.77.54:8888/rtp/233.50.201.146:5140
东南卫视,http://183.142.151.223:8889/rtp/233.50.201.146:5140
东南卫视,http://218.71.45.167:9999/rtp/233.50.201.146:5140
东方卫视,http://125.113.165.186:8888/rtp/233.50.201.125:5140
东方卫视,http://125.113.64.198:8888/rtp/233.50.201.125:5140
东方卫视,http://125.113.77.54:8888/rtp/233.50.201.125:5140
东方卫视,http://183.142.151.223:8889/rtp/233.50.201.125:5140
东方卫视,http://218.71.45.167:9999/rtp/233.50.201.125:5140
云南卫视,http://125.113.165.186:8888/rtp/233.50.201.46:5140
云南卫视,http://125.113.64.198:8888/rtp/233.50.201.46:5140
云南卫视,http://125.113.77.54:8888/rtp/233.50.201.46:5140
云南卫视,http://183.142.151.223:8889/rtp/233.50.201.46:5140
云南卫视,http://218.71.45.167:9999/rtp/233.50.201.46:5140
兵团卫视,http://125.113.165.186:8888/rtp/233.50.201.72:5140
兵团卫视,http://125.113.64.198:8888/rtp/233.50.201.72:5140
兵团卫视,http://125.113.77.54:8888/rtp/233.50.201.72:5140
兵团卫视,http://183.142.151.223:8889/rtp/233.50.201.72:5140
兵团卫视,http://218.71.45.167:9999/rtp/233.50.201.72:5140
内蒙古卫视,http://125.113.165.186:8888/rtp/233.50.201.148:5140
内蒙古卫视,http://125.113.64.198:8888/rtp/233.50.201.148:5140
内蒙古卫视,http://125.113.77.54:8888/rtp/233.50.201.148:5140
内蒙古卫视,http://183.142.151.223:8889/rtp/233.50.201.148:5140
内蒙古卫视,http://218.71.45.167:9999/rtp/233.50.201.148:5140
凤凰卫视中文,http://125.113.165.186:8888/rtp/233.50.200.191:5140
凤凰卫视中文,http://125.113.64.198:8888/rtp/233.50.200.191:5140
凤凰卫视中文,http://125.113.77.54:8888/rtp/233.50.200.191:5140
凤凰卫视中文,http://183.142.151.223:8889/rtp/233.50.200.191:5140
凤凰卫视中文,http://218.71.45.167:9999/rtp/233.50.200.191:5140
凤凰卫视资讯,http://125.113.165.186:8888/rtp/233.50.200.192:5140
凤凰卫视资讯,http://125.113.64.198:8888/rtp/233.50.200.192:5140
凤凰卫视资讯,http://125.113.77.54:8888/rtp/233.50.200.192:5140
凤凰卫视资讯,http://183.142.151.223:8889/rtp/233.50.200.192:5140
凤凰卫视资讯,http://218.71.45.167:9999/rtp/233.50.200.192:5140
北京卫视,http://125.113.165.186:8888/rtp/233.50.201.107:5140
北京卫视,http://125.113.64.198:8888/rtp/233.50.201.107:5140
北京卫视,http://125.113.77.54:8888/rtp/233.50.201.107:5140
北京卫视,http://183.142.151.223:8889/rtp/233.50.201.107:5140
北京卫视,http://218.71.45.167:9999/rtp/233.50.201.107:5140
吉林卫视,http://125.113.165.186:8888/rtp/233.50.201.48:5140
吉林卫视,http://125.113.64.198:8888/rtp/233.50.201.48:5140
吉林卫视,http://125.113.77.54:8888/rtp/233.50.201.48:5140
吉林卫视,http://183.142.151.223:8889/rtp/233.50.201.48:5140
吉林卫视,http://218.71.45.167:9999/rtp/233.50.201.48:5140
四川卫视,http://125.113.165.186:8888/rtp/233.50.201.139:5140
四川卫视,http://125.113.64.198:8888/rtp/233.50.201.139:5140
四川卫视,http://125.113.77.54:8888/rtp/233.50.201.139:5140
四川卫视,http://183.142.151.223:8889/rtp/233.50.201.139:5140
四川卫视,http://218.71.45.167:9999/rtp/233.50.201.139:5140
天津卫视,http://125.113.165.186:8888/rtp/233.50.201.104:5140
天津卫视,http://125.113.64.198:8888/rtp/233.50.201.104:5140
天津卫视,http://125.113.77.54:8888/rtp/233.50.201.104:5140
天津卫视,http://183.142.151.223:8889/rtp/233.50.201.104:5140
天津卫视,http://218.71.45.167:9999/rtp/233.50.201.104:5140
宁夏卫视,http://125.113.165.186:8888/rtp/233.50.201.57:5140
宁夏卫视,http://125.113.64.198:8888/rtp/233.50.201.57:5140
宁夏卫视,http://125.113.77.54:8888/rtp/233.50.201.57:5140
宁夏卫视,http://183.142.151.223:8889/rtp/233.50.201.57:5140
宁夏卫视,http://218.71.45.167:9999/rtp/233.50.201.57:5140
安徽卫视,http://125.113.165.186:8888/rtp/233.50.201.113:5140
安徽卫视,http://125.113.64.198:8888/rtp/233.50.201.113:5140
安徽卫视,http://125.113.77.54:8888/rtp/233.50.201.113:5140
安徽卫视,http://183.142.151.223:8889/rtp/233.50.201.113:5140
安徽卫视,http://218.71.45.167:9999/rtp/233.50.201.113:5140
山东卫视,http://125.113.165.186:8888/rtp/233.50.201.105:5140
山东卫视,http://125.113.64.198:8888/rtp/233.50.201.105:5140
山东卫视,http://125.113.77.54:8888/rtp/233.50.201.105:5140
山东卫视,http://183.142.151.223:8889/rtp/233.50.201.105:5140
山东卫视,http://218.71.45.167:9999/rtp/233.50.201.105:5140
山西卫视,http://125.113.165.186:8888/rtp/233.50.201.51:5140
山西卫视,http://125.113.64.198:8888/rtp/233.50.201.51:5140
山西卫视,http://125.113.77.54:8888/rtp/233.50.201.51:5140
山西卫视,http://183.142.151.223:8889/rtp/233.50.201.51:5140
山西卫视,http://218.71.45.167:9999/rtp/233.50.201.51:5140
广东卫视,http://125.113.165.186:8888/rtp/233.50.201.102:5140
广东卫视,http://125.113.64.198:8888/rtp/233.50.201.102:5140
广东卫视,http://125.113.77.54:8888/rtp/233.50.201.102:5140
广东卫视,http://183.142.151.223:8889/rtp/233.50.201.102:5140
广东卫视,http://218.71.45.167:9999/rtp/233.50.201.102:5140
广西卫视,http://125.113.165.186:8888/rtp/233.50.201.49:5140
广西卫视,http://125.113.64.198:8888/rtp/233.50.201.49:5140
广西卫视,http://125.113.77.54:8888/rtp/233.50.201.49:5140
广西卫视,http://183.142.151.223:8889/rtp/233.50.201.49:5140
广西卫视,http://218.71.45.167:9999/rtp/233.50.201.49:5140
江苏卫视,http://125.113.165.186:8888/rtp/233.50.201.106:5140
江苏卫视,http://125.113.64.198:8888/rtp/233.50.201.106:5140
江苏卫视,http://125.113.77.54:8888/rtp/233.50.201.106:5140
江苏卫视,http://183.142.151.223:8889/rtp/233.50.201.106:5140
江苏卫视,http://218.71.45.167:9999/rtp/233.50.201.106:5140
江西卫视,http://125.113.165.186:8888/rtp/233.50.201.145:5140
江西卫视,http://125.113.64.198:8888/rtp/233.50.201.145:5140
江西卫视,http://125.113.77.54:8888/rtp/233.50.201.145:5140
江西卫视,http://183.142.151.223:8889/rtp/233.50.201.145:5140
江西卫视,http://218.71.45.167:9999/rtp/233.50.201.145:5140
河北卫视,http://125.113.165.186:8888/rtp/233.50.201.140:5140
河北卫视,http://125.113.64.198:8888/rtp/233.50.201.140:5140
河北卫视,http://125.113.77.54:8888/rtp/233.50.201.140:5140
河北卫视,http://183.142.151.223:8889/rtp/233.50.201.140:5140
河北卫视,http://218.71.45.167:9999/rtp/233.50.201.140:5140
河南卫视,http://125.113.165.186:8888/rtp/233.50.201.144:5140
河南卫视,http://125.113.64.198:8888/rtp/233.50.201.144:5140
河南卫视,http://125.113.77.54:8888/rtp/233.50.201.144:5140
河南卫视,http://183.142.151.223:8889/rtp/233.50.201.144:5140
河南卫视,http://218.71.45.167:9999/rtp/233.50.201.144:5140
浙江卫视,http://125.113.165.186:8888/rtp/233.50.201.100:5140
浙江卫视,http://125.113.64.198:8888/rtp/233.50.201.100:5140
浙江卫视,http://125.113.77.54:8888/rtp/233.50.201.100:5140
浙江卫视,http://183.142.151.223:8889/rtp/233.50.201.100:5140
浙江卫视,http://218.71.45.167:9999/rtp/233.50.201.100:5140
海南卫视,http://125.113.165.186:8888/rtp/233.50.201.55:5140
海南卫视,http://125.113.64.198:8888/rtp/233.50.201.55:5140
海南卫视,http://125.113.77.54:8888/rtp/233.50.201.55:5140
海南卫视,http://183.142.151.223:8889/rtp/233.50.201.55:5140
海南卫视,http://218.71.45.167:9999/rtp/233.50.201.55:5140
深圳卫视,http://125.113.165.186:8888/rtp/233.50.201.101:5140
深圳卫视,http://125.113.64.198:8888/rtp/233.50.201.101:5140
深圳卫视,http://125.113.77.54:8888/rtp/233.50.201.101:5140
深圳卫视,http://183.142.151.223:8889/rtp/233.50.201.101:5140
深圳卫视,http://218.71.45.167:9999/rtp/233.50.201.101:5140
湖北卫视,http://125.113.165.186:8888/rtp/233.50.201.114:5140
湖北卫视,http://125.113.64.198:8888/rtp/233.50.201.114:5140
湖北卫视,http://125.113.77.54:8888/rtp/233.50.201.114:5140
湖北卫视,http://183.142.151.223:8889/rtp/233.50.201.114:5140
湖北卫视,http://218.71.45.167:9999/rtp/233.50.201.114:5140
湖南卫视,http://125.113.165.186:8888/rtp/233.50.201.103:5140
湖南卫视,http://125.113.64.198:8888/rtp/233.50.201.103:5140
湖南卫视,http://125.113.77.54:8888/rtp/233.50.201.103:5140
湖南卫视,http://183.142.151.223:8889/rtp/233.50.201.103:5140
湖南卫视,http://218.71.45.167:9999/rtp/233.50.201.103:5140
甘肃卫视,http://125.113.165.186:8888/rtp/233.50.201.149:5140
甘肃卫视,http://125.113.64.198:8888/rtp/233.50.201.149:5140
甘肃卫视,http://125.113.77.54:8888/rtp/233.50.201.149:5140
甘肃卫视,http://183.142.151.223:8889/rtp/233.50.201.149:5140
甘肃卫视,http://218.71.45.167:9999/rtp/233.50.201.149:5140
西藏卫视,http://125.113.165.186:8888/rtp/233.50.201.70:5140
西藏卫视,http://125.113.64.198:8888/rtp/233.50.201.70:5140
西藏卫视,http://125.113.77.54:8888/rtp/233.50.201.70:5140
西藏卫视,http://183.142.151.223:8889/rtp/233.50.201.70:5140
西藏卫视,http://218.71.45.167:9999/rtp/233.50.201.70:5140
贵州卫视,http://125.113.165.186:8888/rtp/233.50.201.142:5140
贵州卫视,http://125.113.64.198:8888/rtp/233.50.201.142:5140
贵州卫视,http://125.113.77.54:8888/rtp/233.50.201.142:5140
贵州卫视,http://183.142.151.223:8889/rtp/233.50.201.142:5140
贵州卫视,http://218.71.45.167:9999/rtp/233.50.201.142:5140
辽宁卫视,http://125.113.165.186:8888/rtp/233.50.201.141:5140
辽宁卫视,http://125.113.64.198:8888/rtp/233.50.201.141:5140
辽宁卫视,http://125.113.77.54:8888/rtp/233.50.201.141:5140
辽宁卫视,http://183.142.151.223:8889/rtp/233.50.201.141:5140
辽宁卫视,http://218.71.45.167:9999/rtp/233.50.201.141:5140
重庆卫视,http://125.113.165.186:8888/rtp/233.50.201.143:5140
重庆卫视,http://125.113.64.198:8888/rtp/233.50.201.143:5140
重庆卫视,http://125.113.77.54:8888/rtp/233.50.201.143:5140
重庆卫视,http://183.142.151.223:8889/rtp/233.50.201.143:5140
重庆卫视,http://218.71.45.167:9999/rtp/233.50.201.143:5140
陕西卫视,http://125.113.165.186:8888/rtp/233.50.201.59:5140
陕西卫视,http://125.113.64.198:8888/rtp/233.50.201.59:5140
陕西卫视,http://125.113.77.54:8888/rtp/233.50.201.59:5140
陕西卫视,http://183.142.151.223:8889/rtp/233.50.201.59:5140
陕西卫视,http://218.71.45.167:9999/rtp/233.50.201.59:5140
青海卫视,http://125.113.165.186:8888/rtp/233.50.201.65:5140
青海卫视,http://125.113.64.198:8888/rtp/233.50.201.65:5140
青海卫视,http://125.113.77.54:8888/rtp/233.50.201.65:5140
青海卫视,http://183.142.151.223:8889/rtp/233.50.201.65:5140
青海卫视,http://218.71.45.167:9999/rtp/233.50.201.65:5140
黑龙江卫视,http://125.113.165.186:8888/rtp/233.50.201.115:5140
黑龙江卫视,http://125.113.64.198:8888/rtp/233.50.201.115:5140
黑龙江卫视,http://125.113.77.54:8888/rtp/233.50.201.115:5140
黑龙江卫视,http://183.142.151.223:8889/rtp/233.50.201.115:5140
黑龙江卫视,http://218.71.45.167:9999/rtp/233.50.201.115:5140
其他频道,#genre#
台州-1,http://125.113.165.186:8888/rtp/233.50.201.157:5140
台州-1,http://125.113.64.198:8888/rtp/233.50.201.157:5140
台州-1,http://125.113.77.54:8888/rtp/233.50.201.157:5140
台州-1,http://183.142.151.223:8889/rtp/233.50.201.157:5140
台州-1,http://218.71.45.167:9999/rtp/233.50.201.157:5140
宁波TV1,http://125.113.165.186:8888/rtp/233.50.201.168:5140
宁波TV1,http://125.113.64.198:8888/rtp/233.50.201.168:5140
宁波TV1,http://125.113.77.54:8888/rtp/233.50.201.168:5140
宁波TV1,http://183.142.151.223:8889/rtp/233.50.201.168:5140
宁波TV1,http://218.71.45.167:9999/rtp/233.50.201.168:5140
杭州1综合,http://125.113.165.186:8888/rtp/233.50.201.173:5140
杭州1综合,http://125.113.64.198:8888/rtp/233.50.201.173:5140
杭州1综合,http://125.113.77.54:8888/rtp/233.50.201.173:5140
杭州1综合,http://183.142.151.223:8889/rtp/233.50.201.173:5140
杭州1综合,http://218.71.45.167:9999/rtp/233.50.201.173:5140
宁波TV2,http://125.113.165.186:8888/rtp/233.50.201.178:5140
宁波TV2,http://125.113.64.198:8888/rtp/233.50.201.178:5140
宁波TV2,http://125.113.77.54:8888/rtp/233.50.201.178:5140
宁波TV2,http://183.142.151.223:8889/rtp/233.50.201.178:5140
宁波TV2,http://218.71.45.167:9999/rtp/233.50.201.178:5140
杭州2明珠,http://125.113.165.186:8888/rtp/233.50.201.174:5140
杭州2明珠,http://125.113.64.198:8888/rtp/233.50.201.174:5140
杭州2明珠,http://125.113.77.54:8888/rtp/233.50.201.174:5140
杭州2明珠,http://183.142.151.223:8889/rtp/233.50.201.174:5140
杭州2明珠,http://218.71.45.167:9999/rtp/233.50.201.174:5140
宁波TV3,http://125.113.165.186:8888/rtp/233.50.201.179:5140
宁波TV3,http://125.113.64.198:8888/rtp/233.50.201.179:5140
宁波TV3,http://125.113.77.54:8888/rtp/233.50.201.179:5140
宁波TV3,http://183.142.151.223:8889/rtp/233.50.201.179:5140
宁波TV3,http://218.71.45.167:9999/rtp/233.50.201.179:5140
杭州3生活,http://125.113.165.186:8888/rtp/233.50.201.175:5140
杭州3生活,http://125.113.64.198:8888/rtp/233.50.201.175:5140
杭州3生活,http://125.113.77.54:8888/rtp/233.50.201.175:5140
杭州3生活,http://183.142.151.223:8889/rtp/233.50.201.175:5140
杭州3生活,http://218.71.45.167:9999/rtp/233.50.201.175:5140
宁波TV4,http://125.113.165.186:8888/rtp/233.50.201.180:5140
宁波TV4,http://125.113.64.198:8888/rtp/233.50.201.180:5140
宁波TV4,http://125.113.77.54:8888/rtp/233.50.201.180:5140
宁波TV4,http://183.142.151.223:8889/rtp/233.50.201.180:5140
宁波TV4,http://218.71.45.167:9999/rtp/233.50.201.180:5140
杭州4影视,http://125.113.165.186:8888/rtp/233.50.201.176:5140
杭州4影视,http://125.113.64.198:8888/rtp/233.50.201.176:5140
杭州4影视,http://125.113.77.54:8888/rtp/233.50.201.176:5140
杭州4影视,http://183.142.151.223:8889/rtp/233.50.201.176:5140
杭州4影视,http://218.71.45.167:9999/rtp/233.50.201.176:5140
宁波TV5,http://125.113.165.186:8888/rtp/233.50.201.181:5140
宁波TV5,http://125.113.64.198:8888/rtp/233.50.201.181:5140
宁波TV5,http://125.113.77.54:8888/rtp/233.50.201.181:5140
宁波TV5,http://183.142.151.223:8889/rtp/233.50.201.181:5140
宁波TV5,http://218.71.45.167:9999/rtp/233.50.201.181:5140
杭州5青少,http://125.113.165.186:8888/rtp/233.50.201.177:5140
杭州5青少,http://125.113.64.198:8888/rtp/233.50.201.177:5140
杭州5青少,http://125.113.77.54:8888/rtp/233.50.201.177:5140
杭州5青少,http://183.142.151.223:8889/rtp/233.50.201.177:5140
杭州5青少,http://218.71.45.167:9999/rtp/233.50.201.177:5140
BesTV,http://125.113.165.186:8888/rtp/233.50.201.201:5140
BesTV,http://125.113.64.198:8888/rtp/233.50.201.201:5140
BesTV,http://125.113.77.54:8888/rtp/233.50.201.201:5140
BesTV,http://183.142.151.223:8889/rtp/233.50.201.201:5140
BesTV,http://218.71.45.167:9999/rtp/233.50.201.201:5140
CGTN,http://125.113.165.186:8888/rtp/233.50.201.126:5140
CGTN,http://125.113.64.198:8888/rtp/233.50.201.126:5140
CGTN,http://125.113.77.54:8888/rtp/233.50.201.126:5140
CGTN,http://183.142.151.223:8889/rtp/233.50.201.126:5140
CGTN,http://218.71.45.167:9999/rtp/233.50.201.126:5140
YMG新闻,http://125.113.165.186:8888//rtp/233.50.201.159:5140
YMG新闻,http://125.113.64.198:8888//rtp/233.50.201.159:5140
YMG新闻,http://125.113.77.54:8888//rtp/233.50.201.159:5140
YMG新闻,http://183.142.151.223:8889//rtp/233.50.201.159:5140
YMG新闻,http://218.71.45.167:9999//rtp/233.50.201.159:5140
中国教育一套,http://125.113.165.186:8888/rtp/233.50.201.75:5140
中国教育一套,http://125.113.64.198:8888/rtp/233.50.201.75:5140
中国教育一套,http://125.113.77.54:8888/rtp/233.50.201.75:5140
中国教育一套,http://183.142.151.223:8889/rtp/233.50.201.75:5140
中国教育一套,http://218.71.45.167:9999/rtp/233.50.201.75:5140
中国教育四套,http://125.113.165.186:8888/rtp/233.50.201.172:5140
中国教育四套,http://125.113.64.198:8888/rtp/233.50.201.172:5140
中国教育四套,http://125.113.77.54:8888/rtp/233.50.201.172:5140
中国教育四套,http://183.142.151.223:8889/rtp/233.50.201.172:5140
中国教育四套,http://218.71.45.167:9999/rtp/233.50.201.172:5140
